SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Spread
1,USD Coin,USDC,2018-10-09,1.00833,1.00003,1.00427,1.00686,108803.0,0.0,0.008299999999999974
2,USD Coin,USDC,2018-10-10,1.01908,1.00397,1.00494,1.00962,711783.0,0.0,0.015109999999999957
3,USD Coin,USDC,2018-10-11,1.03123,1.00173,1.00994,1.00978,4177290.0,0.0,0.02950000000000008
4,USD Coin,USDC,2018-10-12,1.01871,1.00114,1.00861,1.01272,1322240.0,0.0,0.017570000000000086
5,USD Coin,USDC,2018-10-13,1.02029,1.00355,1.01445,1.00743,698507.0,0.0,0.016739999999999977
6,USD Coin,USDC,2018-10-14,1.02251,1.00492,1.00726,1.01631,982750.0,0.0,0.017589999999999995
7,USD Coin,USDC,2018-10-15,1.11373,0.998372,1.0169,1.0268,10660400.0,0.0,0.11535800000000007
8,USD Coin,USDC,2018-10-16,1.03551,1.01899,1.02723,1.02143,2124080.0,24323316.2344,0.016519999999999868
9,USD Coin,USDC,2018-10-17,1.02653,1.01058,1.02404,1.01219,1102740.0,24107422.7902,0.01594999999999991
10,USD Coin,USDC,2018-10-18,1.02062,1.00923,1.01466,1.01489,1182450.0,24187789.2696,0.011390000000000011
11,USD Coin,USDC,2018-10-19,1.01643,1.00631,1.01475,1.00698,715078.0,24002105.7351,0.010119999999999907
12,USD Coin,USDC,2018-10-20,1.01363,1.00255,1.00749,1.00643,299871.0,23994903.4238,0.011079999999999979
13,USD Coin,USDC,2018-10-21,1.01961,1.0032,1.00682,1.0129,509276.0,24149158.5883,0.016409999999999814
14,USD Coin,USDC,2018-10-22,1.0248,1.00329,1.01231,1.0093,1211160.0,33637864.4966,0.021509999999999918
15,USD Coin,USDC,2018-10-23,1.01796,1.00747,1.00923,1.01059,1503840.0,0.0,0.010489999999999888
16,USD Coin,USDC,2018-10-24,1.01209,1.00238,1.00938,1.01002,923940.0,85597083.7735,0.009709999999999885
17,USD Coin,USDC,2018-10-25,1.01369,1.0019,1.01046,1.00797,1365520.0,85423350.5586,0.011789999999999967
18,USD Coin,USDC,2018-10-26,1.01552,1.00352,1.00611,1.01163,950623.0,125705149.382,0.01200000000000001
19,USD Coin,USDC,2018-10-27,1.01489,1.00107,1.01208,1.00824,712963.0,125258973.687,0.013820000000000165
20,USD Coin,USDC,2018-10-28,1.01496,1.00273,1.00662,1.01107,282707.0,125585473.774,0.012230000000000185
21,USD Coin,USDC,2018-10-29,1.019,1.00553,1.01083,1.00837,1983680.0,126268125.218,0.013469999999999871
22,USD Coin,USDC,2018-10-30,1.01086,1.00301,1.00643,1.00468,715882.0,127961108.516,0.007850000000000135
23,USD Coin,USDC,2018-10-31,1.00873,0.994033,1.00673,0.996386,1279360.0,126902714.865,0.014696999999999849
24,USD Coin,USDC,2018-11-01,1.0184,0.991167,0.996413,0.992502,1800480.0,126328568.292,0.02723299999999995
25,USD Coin,USDC,2018-11-02,1.00801,0.988213,0.992897,0.999969,2042390.0,132263915.845,0.019797000000000065
26,USD Coin,USDC,2018-11-03,1.0083,0.99781,1.00028,1.00379,1402480.0,132760169.643,0.01049
27,USD Coin,USDC,2018-11-04,1.00809,0.982746,1.00401,0.997669,2144200.0,131925671.16,0.025343999999999922
28,USD Coin,USDC,2018-11-05,1.00745,0.996702,0.996997,0.998748,1287400.0,134043873.058,0.01074799999999998
29,USD Coin,USDC,2018-11-06,1.00506,0.99711,1.00249,1.00052,2241070.0,134764761.215,0.007950000000000013
30,USD Coin,USDC,2018-11-07,1.01161,0.997181,1.00144,1.0043,2589880.0,134846050.978564,0.014428999999999914
31,USD Coin,USDC,2018-11-08,1.00721,0.998625,1.00383,1.00384,3423190.0,134582387.304781,0.008584999999999954
32,USD Coin,USDC,2018-11-09,1.01361,1.00194,1.00407,1.00804,3478250.0,135152022.946511,0.011669999999999847
33,USD Coin,USDC,2018-11-10,1.02973,0.995854,1.00711,1.01096,2497760.0,135543519.223448,0.03387600000000002
34,USD Coin,USDC,2018-11-11,1.01993,0.996741,1.01264,1.00901,4726130.0,135307299.941031,0.023189000000000015
35,USD Coin,USDC,2018-11-12,1.01514,1.0006,1.00856,1.0132,6446540.0,135869179.957355,0.014539999999999997
36,USD Coin,USDC,2018-11-13,1.02223,0.999477,1.00826,1.01282,6483310.0,135535719.465778,0.022753000000000023
37,USD Coin,USDC,2018-11-14,1.04334,0.999077,1.01763,1.02307,24013300.0,145938457.51628,0.04426299999999994
38,USD Coin,USDC,2018-11-15,1.06139,1.00785,1.02067,1.01831,18776600.0,145288637.977145,0.05354000000000014
39,USD Coin,USDC,2018-11-16,1.03941,1.00618,1.01712,1.03027,9247040.0,147038389.425786,0.03322999999999987
40,USD Coin,USDC,2018-11-17,1.03933,1.00616,1.03344,1.00912,5537380.0,144078009.427742,0.033170000000000144
41,USD Coin,USDC,2018-11-18,1.01463,1.00118,1.00962,1.01188,5735460.0,144472180.075049,0.013449999999999962
42,USD Coin,USDC,2018-11-19,1.05217,1.00131,1.01203,1.02019,27873100.0,145433960.311124,0.05086000000000013
43,USD Coin,USDC,2018-11-20,1.0567,1.00722,1.01588,1.01995,43293600.0,156707497.53873,0.04947999999999997
44,USD Coin,USDC,2018-11-21,1.03205,1.00892,1.02412,1.01441,20164000.0,165035814.906515,0.023129999999999873
45,USD Coin,USDC,2018-11-22,1.02256,1.00616,1.01285,1.01948,11556600.0,166175761.749806,0.01639999999999997
46,USD Coin,USDC,2018-11-23,1.02783,1.00833,1.01613,1.02061,17717500.0,169431171.766614,0.019500000000000073
47,USD Coin,USDC,2018-11-24,1.03969,1.01105,1.01718,1.02296,19409700.0,169951729.428763,0.02864
48,USD Coin,USDC,2018-11-25,1.04013,0.990265,1.02687,1.02596,23476200.0,170393048.504764,0.04986500000000005
49,USD Coin,USDC,2018-11-26,1.05881,1.01551,1.01831,1.03741,29734800.0,172044015.330946,0.043300000000000116
50,USD Coin,USDC,2018-11-27,1.038,0.995528,1.03242,1.0121,13622700.0,170711290.864261,0.042472000000000065
51,USD Coin,USDC,2018-11-28,1.02585,1.00372,1.00871,1.01164,23327400.0,173690422.157984,0.022129999999999983
52,USD Coin,USDC,2018-11-29,1.020604029,1.00392043590546,1.0116764307022097,1.01459674887,18025473.4501673,179215722.520525,0.016683593094539928
53,USD Coin,USDC,2018-11-30,1.0204493743,1.00406569622,1.01356668603,1.0103967066,14143220.5273201,178350743.836846,0.016383678079999964
54,USD Coin,USDC,2018-12-01,1.0253430663,1.00019360913,1.01281789515,1.00819738259,14198648.6267255,177962574.067388,0.025149457169999945
55,USD Coin,USDC,2018-12-02,1.03179217969,0.993286726522,1.0082554935,1.01277120831,10761894.9231952,178770938.264327,0.038505453168000026
56,USD Coin,USDC,2018-12-03,1.01658310756,1.00021591108,1.0111194379,1.00974887716,12188098.3781756,178146805.65555,0.016367196480000068
57,USD Coin,USDC,2018-12-04,1.0164270868,1.00353974281,1.00902765619,1.0127950262,12556999.2637131,178853753.702588,0.012887343990000133
58,USD Coin,USDC,2018-12-05,1.01859849787,1.00489166984,1.01145495231,1.01363304246,14257800.1518119,180498554.856648,0.013706828030000118
59,USD Coin,USDC,2018-12-06,1.02166868206,1.00213162115,1.010984896,1.01826592332,21637768.2103088,181375784.53353,0.01953706091000007
60,USD Coin,USDC,2018-12-07,1.02506020599,1.00238055388,1.01793084777,1.01130803909,29947363.4040196,186984731.705864,0.022679652110000115
61,USD Coin,USDC,2018-12-08,1.02757642631,1.00657043757,1.0112983625,1.02218328992,17724713.5716782,189115396.526225,0.021005988740000037
62,USD Coin,USDC,2018-12-09,1.0327738608,1.01391748455,1.01879855815,1.01825284046,14831258.8063856,188363784.190033,0.01885637625000003
63,USD Coin,USDC,2018-12-10,1.02911987617,1.01479608312,1.01817127663,1.02469250693,12987867.6759561,194659963.590114,0.014323793049999978
64,USD Coin,USDC,2018-12-11,1.0373405354,1.01722859757,1.02523326152,1.02033574022,12104530.9690785,193258122.194989,0.020111937830000093
65,USD Coin,USDC,2018-12-12,1.04286467305,0.989760359391,1.02195594506,1.0227704518,10392692.9498333,195911388.817137,0.053104313658999924
66,USD Coin,USDC,2018-12-13,1.03677123701,0.982985399626,1.03677123701,1.01591286111,8569160.36548711,195990468.119113,0.053785837384
67,USD Coin,USDC,2018-12-14,1.02842972558,1.0120292175,1.01523359922,1.01729189891,11571583.568797,205058002.573482,0.01640050807999982
68,USD Coin,USDC,2018-12-15,1.02146544534,0.995120999139,1.01839308307,0.997940301268,8595918.51885858,201408567.141206,0.02634444620100007
69,USD Coin,USDC,2018-12-16,1.04105986678,0.998008592733,1.00484112533,1.01196103536,9383751.11076155,204222546.55487,0.04305127404699993
70,USD Coin,USDC,2018-12-17,1.03396898986,0.998067660435,1.02745221318,1.01423305634,18392474.9486506,214498101.48321,0.03590132942500002
71,USD Coin,USDC,2018-12-18,1.0205854507,1.00001331241,1.01419531941,1.00985374956,24572396.1403203,216113191.260591,0.020572138290000153
72,USD Coin,USDC,2018-12-19,1.02086045996,1.00207756755,1.00905309789,1.01923041337,46352135.2044385,227179148.2048,0.018782892409999974
73,USD Coin,USDC,2018-12-20,1.02441836919,1.00677402197,1.02123524879,1.01511923828,58976757.9622027,229602069.567973,0.017644347219999856
74,USD Coin,USDC,2018-12-21,1.02419725683,1.00610031966,1.0164159757,1.01542688275,46603503.7938114,231531679.284072,0.018096937169999938
75,USD Coin,USDC,2018-12-22,1.0190310363,0.997087340952,1.01244204493,1.01066756968,26222949.6182903,230419099.604875,0.021943695347999892
